Date,S&P500 Open,S&P500 Close,DJ Open,DJ Close,NAS Open,NAS Close,Bank_Open,Bank_Close,Biotech_Open,Biotech_Close,Healthcare_Open,Healthcare_Close,Housing_Open,Housing_Close,Industrial_Open,Industrial_Close,Insurance_Open,Insurance_Close,Oil-Gas_Open,Oil-Gas_Close,Semiconductor_Open,Semiconductor_Close,Telecom_Open,Telecom_Close,Utility_Open,Utility_Close
2013-07-01,1609.7800,1614.9600,14911.5996,14974.9600,3430.4800,3434.4900,2221.090088,2249.080078,1860.430054,1863.699951,441.26998899999995,440.75,179.690002,179.070007,3085.030029,3100.330078,5741.180176,5820.490234000001,253.520004,255.88000499999998,470.01998899999995,467.73001100000005,230.22000099999997,229.97000099999997,493.85998499999994,485.89001500000006
2013-07-02,1614.2900,1614.0800,14974.9600,14932.4102,3430.6899,3433.3999,2248.560059,2265.409912,1862.780029,1865.569946,440.420013,440.97000099999997,178.970001,177.070007,3096.830078,3096.939941,5815.439941,5790.430176,255.690002,256.98999,466.880005,468.17999299999997,229.330002,229.22000099999997,485.299988,485.839996
2013-07-03,1611.4800,1615.4100,14923.7305,14988.3701,3420.2700,3443.6699,2256.48999,2272.570068,1854.880005,1866.469971,438.299988,440.700012,176.580002,178.240005,3082.330078,3104.429932,5769.629883,5793.290039,256.570007,256.329987,465.75,469.799988,228.55000299999998,230.88999900000002,484.299988,485.35998499999994
2013-07-05,1618.6500,1631.8900,14995.4600,15135.8398,3468.4800,3479.3799,2294.76001,2327.399902,1882.619995,1900.589966,444.700012,448.170013,179.0,174.199997,3133.540039,3138.3701170000004,5856.350098,5882.740234000001,257.26001,260.97000099999997,472.27999900000003,476.119995,231.66000400000001,231.649994,485.880005,482.869995
2013-07-08,1634.2000,1640.4600,15137.2197,15224.6904,3493.8101,3484.8301,2335.919922,2328.719971,1909.7399899999998,1893.660034,450.27999900000003,447.660004,176.03999299999998,172.770004,3154.320068,3161.52002,5902.399902,5926.910156,262.02999900000003,263.350006,477.47000099999997,466.5,232.61000099999998,231.919998,484.369995,489.160004
2013-07-09,1642.8900,1652.3199,15228.4600,15300.3398,3501.2500,3504.2600,2338.01001,2338.340088,1907.5100100000002,1904.72998,449.200012,448.670013,173.610001,179.309998,3180.320068,3179.070068,5950.350098,5969.779785,264.140015,266.049988,470.60000599999995,471.410004,232.770004,234.50999500000003,491.0,492.23999000000003
2013-07-10,1651.5601,1652.6200,15298.0303,15291.6602,3502.1101,3520.7600,2337.409912,2323.679932,1905.640015,1926.540039,448.98001100000005,454.459991,179.199997,178.449997,3179.3798829999996,3188.27002,5965.22998,5989.02002,266.290009,264.149994,470.329987,476.700012,234.419998,236.600006,491.380005,494.410004
2013-07-11,1657.4100,1675.0200,15298.0000,15460.9199,3557.7900,3578.3000,2343.01001,2305.1298829999996,1957.859985,1967.9200440000002,461.42999299999997,463.170013,179.479996,186.199997,3224.070068,3237.27002,6036.850098,6051.700195,264.320007,265.149994,481.05999800000006,486.55999800000006,238.83999599999999,240.88000499999998,496.799988,502.77999900000003
2013-07-12,1675.2600,1680.1899,15460.6904,15464.2998,3579.5801,3600.0801,2306.340088,2326.850098,1973.5999760000002,2017.25,463.89999400000005,471.579987,187.190002,187.0,3234.040039,3258.25,6042.029785,6103.330078,265.200012,267.049988,487.94000199999994,489.60998499999994,240.960007,242.27999900000003,502.52999900000003,504.459991
2013-07-15,1679.5900,1682.5000,15459.6904,15484.2598,3601.0901,3607.4900,2333.310059,2345.159912,2020.939941,2017.089966,472.209991,471.700012,187.179993,183.919998,3260.159912,3256.100098,6110.069824,6153.27002,267.119995,266.339996,489.799988,489.329987,242.169998,243.52999900000003,503.619995,512.429993
2013-07-16,1682.7000,1676.2600,15485.0303,15451.8496,3611.0000,3598.5000,2346.77002,2333.689941,2017.77002,1995.060059,471.950012,467.97000099999997,184.25,183.320007,3259.030029,3243.340088,6158.930176,6144.680176,266.799988,263.52999900000003,490.299988,491.05999800000006,243.580002,242.02999900000003,512.630005,509.98001100000005
